REGIÃO,MUNICÍPIO,POPULAÇÃO,ELEITORADO,MULHERES,HOMENS,DOMICÍLIOS,DISTRITOS,ANIVERSÁRIO,TRANSFERÊNCIA,VALOR BOLSA FAMILIA,VALOR BPC,VALOR AUXÍLIO GÁS,VALOR SEGURO DESEMPREGO,BENEFICIADOS BOLSA FAMÍLIA,VALOR MÉDIO BOLSA FAMILIA,BENEFIADOS AUXÍLIO GÁS,BENEFICIADOS BPC,DEFICIENTES BPC,IDOSOS BPC,EQUIPES SAÚDE BUCAL,REALIZAÇÃO PRÉ NATAL SUS,EXAMES COLO DO UTERO,MAMOGRAFIAS,BENEFICIADOS FARMÁCIA POPULAR,BENEFICADOS PÉ-DE-MEIA,LEI PAULO GUSTAVO,VALOR PNATE,VALOR PNLD,EMPREGOS FORMAIS,NOVOS EMPREGOS NO MÊS,PLANO SAFRA,INVESTIMENTO PRONAF,MORADIAS MCMV OGU - Faixa 1 ESSES DADOS O IDEAL É A OUTRA PLANILHA QUE ENVOLVE TODAS AS ENTREGAS MCMV,LUZ PARA TODOS,PAC SELEÇÃO,PAC SELEÇÕES - EDUCAÇÃO CRECHE/ESCOLA DE EDUCAÇÃO INFANTIL,PAC SELEÇÕES - EDUCAÇÃO ESCOLA EM TEMPO INTEGRAL,PAC SELEÇÕES - ONIBUS ESCOLAR,PAC UBS,PAC SELEÇÕES - UNIDADE ODONTOLOGICA MOVEL,CENTRAL SAMU,PAC SELEÇÕES CAPS,PAC SELEÇÕES - SAMU,PAC SELEÇÕES - CIDADES SUSTENTÁVEIS ESGOTAMENTO SANITÁRIO,ABASTAECIMENTO DE ÁGUA URBANO,GESTÃO DE RESÍDUOS SÓLIDOS,PAC SELEÇÕES CEU CULTURA,PAC SELEÇÕES - ESPAÇO ESPORTIVO COMUNITÁRIO,POLICLINICA,MATERNIDADE COM CENTRO DE PARTO NORMAL,CENTRO COUNITÁRIO PELA VIDA ,COMPLEXO FERROVIÁRIO,URBANIZAÇÃO DE FAVELAS,PREVENÇÃO DE GRANDES DESASTRES,MOBILIDADE,REGULARIZAÇÃO FUNDIÁRIA,OFICINA ORTOPÉDICA
BOLSÃO,INOCÊNCIA,8712,6908,48.27,51.73,4408,4,2025-04-04,11110000,1800000,1300000,22540,808580,454,666.22,69,214,126,88,4,113,0,0,1020,119,93300,24400,106530,4960,291,52220000,3060000,17,0.0,3.0,1.0,,,,,,,,1,1.0,,,,,,,,,,,,
GRANDE DOURADOS,ITAPORÃ,25075,13943,50.69,49.31,9457,5,2025-12-10,21050000,2800000,2980000,41210,1130000,670,694.65,127,489,220,269,7,180,0,0,946,225,272550,63810,290980,3010,7,155620000,4170000,21,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
CONESUL,ITAQUIRAÍ,19996,14158,49.09,50.91,8388,1,2025-05-13,21130000,3850000,2160000,55170,2160000,1000,630.77,172,358,210,148,6,209,0,0,610,260,227550,156250,275160,5360,716,58510000,12570000,49,0.0,4.0,,,1.0,,,,,1.0,1,1.0,,,,,,,,,,,,
LESTE,IVINHEMA,29613,20590,49.99,50.01,12215,2,2025-11-11,26370000,4500000,3650000,41850,2380000,1170,636.07,127,605,398,207,6,362,0,0,605,278,248800,47010,347830,4340,42,40930000,7800000,134,0.0,4.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
CONESUL,JAPORÃ,8409,6315,49.4,50.60,2952,2,2025-04-30,12120000,6470000,567770,224740,177060,1530,705.08,694,95,67,28,3,92,0,0,0,235,100420,207300,201580,204,8,2660000,460030,48,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
CAMPO GRANDE,JARAGUARI,7425,5828,47.16,52.84,4573,2,2025-12-12,9760000,1460000,725630,21460,229370,357,693.04,66,121,65,56,3,28,0,0,0,93,92440,64550,95410,1070,69,63810000,898850,50,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
SUDOESTE,JARDIM,24509,18063,50.46,49.54,10344,2,2025-05-14,23860000,5470000,10490000,13840,1900000,1310,695.18,42,1720,663,1060,5,368,0,0,1200,424,273660,15950,289920,3650,23,36430000,1590000,3,0.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
GRANDE DOURADOS,JATEÍ,3620,4374,49.05,50.95,1896,1,2025-11-11,8460000,1340000,268690,17710,245660,328,681.29,54,45,34,11,2,50,0,0,0,49,63290,2280,73040,990,0,24270000,1270000,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
CONESUL,JUTI,7009,5778,50.81,49.19,3034,1,2025-12-14,11430000,3150000,1050000,84040,1340000,780,673.97,261,173,116,57,2,91,0,0,855,111,88630,40640,99190,633,3,30160000,692970,99,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
PANTANAL,LADÁRIO,22290,13471,50.52,49.48,7324,1,2025-09-02,29590000,8770000,2320000,138780,3060000,2050,721.3,430,380,209,171,4,260,0,0,0,440,268220,4140,270080,930,0,481000,44070,9,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
SUL FRONTEIRA,LAGUNA CARAPÃ,7012,5245,50.36,49.64,2755,1,2025-04-22,9800000,2600000,675520,57530,383920,635,682.29,179,112,55,57,2,71,0,0,71,110,89630,16930,111690,1590,61,142520000,864060,85,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
GRANDE DOURADOS,MARACAJU,47558,28712,49.39,50.61,17272,2,2025-06-11,39800000,7950000,6570000,31230,4100000,1910,692.93,96,1090,488,597,11,597,0,0,0,348,478070,72520,545620,11480,44,302990000,913280,36,0.0,4.0,1.0,,,1.0,,,,1.0,1,,,,,,,,,,,,,
PANTANAL,MIRANDA,26487,19564,49.4,50.60%,10099,1,2025-07-16,27210000,17550000,6220000,513890,3350000,4160,701.83,1590,1020,613,404,5,358,0,0,2120,612,279870,99190,371270,3570,19,25980000,981150,10,0.0,5.0,1.0,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,
CONESUL,MUNDO NOVO,19937,14461,52.11,47.89,8390,1,2025-05-13,23600000,7500000,10020000,16110,1240000,1890,676.09,51,1670,669,996,4,236,0,0,642,325,195340,44160,231730,3180,35,11010000,1610000,7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
CONESUL,NAVIRAÍ,52707,36455,50.73,49.27,22526,1,2025-11-11,46020000,15970000,9510000,433580,6890000,4050,657.31,1330,1590,996,593,12,750,2710,0,488,632,559920,39600,644090,12430,1140,187490000,1330000,60,0.0,5.0,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,1.0,
SUDOESTE,NIOAQUE,13412,10194,48.37,51.63,6501,1,2025-04-08,15950000,6250000,2140000,41430,690270,1530,682.18,128,355,206,149,4,135,0,0,769,310,158020,125210,217790,1230,0,48130000,7860000,50,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
CAMPO GRANDE,NOVA ALVORADA DO SUL,23054,15937,50.25,49.75%,9647,2,2025-10-27,25920000,6030000,3170000,63000,2760000,1480,676.61,195,520,257,263,7,316,0,0,1470,326,229980,50280,376690,6220,1240,216450000,1900000,89,0.0,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,
LESTE,NOVA ANDRADINA,50610,34330,50.74,49.26,21566,2,2025-04-30,43460000,14330000,7570000,301370,5160000,3670,658.23,928,1240,915,329,11,706,0,304,2660,746,543260,89890,551840,13330,105,93980000,10430000,0,0.0,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,
LESTE,NOVO HORIZONTE DO SUL,4811,3597,49.04,50.96,2300,1,2025-04-30,8940000,887360,552550,13950,231770,226,650.69,43,89,68,21,1,72,0,0,425,58,62750,32690,56910,490,24,14780000,3830000,7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
BOLSÃO,PARAISO DAS AGUAS,5777,4186,47.77,52.23,2943,3,2025-09-30,10820000,832890,385580,13420,605280,211,644.2,41,65,33,32,1,87,0,0,135,73,79510,60480,123620,1910,7,131960000,1010000,6,,,,,,,,,,,,,,,,,,,,,,,,
